time_sec,red_raw,ir_raw,selected_raw,filtered_latest,bpm,signal_quality
1.0002,82389,82889,82889,,,Collecting
1.0452,104198,108159,108159,,,Collecting
1.0853,103844,107717,107717,,,Collecting
1.1254,103759,107551,107551,,,Collecting
1.1655,103821,107616,107616,,,Collecting
1.2055,103777,107573,107573,,,Collecting
1.2456,103477,107121,107121,,,Collecting
1.2857,103118,106619,106619,,,Collecting
1.3257,102707,105926,105926,,,Collecting
1.3658,102614,105776,105776,,,Collecting
1.4059,102647,105836,105836,,,Collecting
1.4459,102537,105634,105634,,,Collecting
1.4860,102425,105349,105349,,,Collecting
1.5261,102445,105326,105326,,,Collecting
1.5661,102395,105304,105304,,,Collecting
1.6062,102168,105008,105008,,,Collecting
1.6463,102162,105026,105026,,,Collecting
1.6864,102198,105081,105081,,,Collecting
1.7264,102178,105029,105029,,,Collecting
1.7665,102107,104956,104956,,,Collecting
1.8066,101981,104821,104821,,,Collecting
1.8466,102001,104825,104825,,,Collecting
1.8867,101927,104792,104792,,,Collecting
1.9268,101938,104838,104838,,,Collecting
1.9668,101822,104695,104695,,,Collecting
2.0069,101727,104582,104582,,,Collecting
2.0470,101649,104511,104511,,,Collecting
2.0870,101631,104537,104537,,,Collecting
2.1271,101577,104472,104472,,,Collecting
2.1672,101563,104466,104466,,,Collecting
2.2073,101628,104597,104597,,,Collecting
2.2473,101577,104574,104574,,,Collecting
2.2874,101582,104581,104581,,,Collecting
2.3275,101629,104676,104676,,,Collecting
2.3675,101686,104738,104738,,,Collecting
2.4076,101686,104616,104616,,,Collecting
2.4477,101590,104479,104479,,,Collecting
2.4878,101473,104356,104356,,,Collecting
2.5279,101378,104190,104190,,,Collecting
2.5680,101376,104162,104162,,,Collecting
2.6081,101396,104217,104217,,,Collecting
2.6482,101215,103960,103960,,,Collecting
2.6883,101011,103741,103741,,,Collecting
2.7284,100940,103656,103656,,,Collecting
2.7685,101025,103737,103737,,,Collecting
2.8085,101080,103850,103850,,,Collecting
2.8487,101232,104075,104075,,,Collecting
2.8887,101197,104113,104113,,,Collecting
2.9288,101164,104065,104065,,,Collecting
2.9689,101227,104200,104200,,,Collecting
3.0090,101210,104216,104216,,,Collecting
3.0491,101231,104264,104264,,,Collecting
3.0892,101201,104267,104267,,,Collecting
3.1293,101254,104363,104363,,,Collecting
3.1694,101316,104439,104439,,,Collecting
3.2095,101225,104395,104395,,,Collecting
3.2496,101276,104481,104481,,,Collecting
3.2897,101249,104473,104473,,,Collecting
3.3298,101128,104307,104307,,,Collecting
3.3699,101055,104046,104046,,,Collecting
3.4100,100977,103953,103953,,,Collecting
3.4501,100988,103982,103982,,,Collecting
3.4902,100930,103909,103909,,,Collecting
3.5303,100853,103840,103840,,,Collecting
3.5704,100769,103758,103758,,,Collecting
3.6105,100821,103777,103777,,,Collecting
3.6506,100783,103723,103723,,,Collecting
3.6907,100636,103516,103516,,,Collecting
3.7308,100470,103307,103307,,,Collecting
3.7709,100297,103117,103117,,,Collecting
3.8110,100249,103054,103054,,,Collecting
3.8511,100177,102978,102978,,,Collecting
3.8912,100180,103004,103004,,,Collecting
3.9313,100177,102951,102951,,,Collecting
3.9714,100099,102900,102900,,,Collecting
4.0115,100048,102888,102888,,,Collecting
4.0515,100109,102968,102968,,,Collecting
4.0916,100141,103058,103058,,,Collecting
4.1317,100220,103170,103170,,,Collecting
4.1718,100289,103304,103304,,,Collecting
4.2119,100292,103290,103290,,,Collecting
4.2520,100133,102995,102995,,,Collecting
4.2921,99993,102705,102705,,,Collecting
4.3322,99948,102616,102616,,,Collecting
4.3724,99921,102591,102591,,,Collecting
4.4125,99871,102528,102528,,,Collecting
4.4526,99884,102514,102514,,,Collecting
4.4927,99899,102576,102576,,,Collecting
4.5328,99836,102439,102439,,,Collecting
4.5728,99917,102568,102568,,,Collecting
4.6129,99948,102613,102613,,,Collecting
4.6530,99935,102649,102649,,,Collecting
4.6931,99960,102744,102744,,,Collecting
4.7332,99933,102687,102687,,,Collecting
4.7733,99798,102485,102485,,,Collecting
4.8134,99725,102394,102394,,,Collecting
4.8535,99671,102382,102382,,,Collecting
4.8936,99685,102405,102405,,,Collecting
4.9337,99713,102407,102407,,,Collecting
4.9738,99730,102469,102469,5.741449,,Fair
5.0139,99773,102569,102569,12.928119,,Fair
5.0540,99757,102562,102562,15.304674,,Fair
5.0940,99751,102613,102613,14.378104,,Fair
5.1341,99717,102561,102561,11.544134,,Fair
5.1742,99635,102416,102416,7.672415,,Fair
5.2143,99526,102236,102236,3.866856,,Fair
5.2544,99414,101951,101951,1.615754,,Fair
5.2945,99171,101618,101618,1.833600,,Fair
5.3346,98958,101351,101351,4.248964,,Fair
5.3747,98921,101279,101279,7.019996,,Fair
5.4148,98918,101275,101275,7.696680,,Fair
5.4548,98868,101212,101212,3.964533,,Fair
5.4949,98870,101189,101189,-5.570792,,Fair
5.5350,98924,101300,101300,-20.094958,46.88,Fair
5.5751,98961,101363,101363,-36.449439,46.88,Fair
5.6153,98975,101415,101415,-51.162460,46.88,Fair
5.6554,99002,101469,101469,-60.856090,46.88,Fair
5.6954,98989,101434,101434,-62.443634,46.88,Fair
5.7355,98945,101448,101448,-54.262536,46.88,Fair
5.7756,99028,101584,101584,-36.291596,46.88,Fair
5.8157,99047,101612,101612,-10.102411,46.88,Fair
5.8558,99039,101612,101612,20.311095,46.88,Fair
5.8959,99027,101642,101642,49.784302,46.88,Fair
5.9360,98979,101598,101598,73.586516,46.88,Fair
5.9761,98988,101664,101664,88.174658,46.88,Fair
6.0162,99059,101767,101767,92.872247,46.88,Fair
6.0563,99085,101803,101803,89.369293,46.88,Fair
6.0964,99001,101717,101717,80.367211,46.88,Fair
6.1365,98826,101373,101373,68.248636,46.88,Fair
6.1765,98634,101041,101041,53.786589,46.88,Fair
6.2166,98576,100919,100919,37.520925,46.88,Fair
6.2567,98555,100927,100927,20.559626,46.88,Fair
6.2968,98596,100994,100994,3.748985,46.88,Fair
6.3369,98590,100966,100966,-12.498817,46.88,Fair
6.3770,98503,100849,100849,-28.265436,46.88,Fair
6.4171,98455,100754,100754,-43.643720,46.88,Fair
6.4572,98502,100808,100808,-58.345928,46.88,Fair
6.4973,98549,100879,100879,-71.231620,46.88,Fair
6.5374,98600,100980,100980,-81.049907,46.88,Fair
6.5775,98556,100923,100923,-85.867550,46.88,Fair
6.6176,98517,100892,100892,-83.892457,46.88,Fair
6.6577,98532,100919,100919,-73.422815,46.88,Fair
6.6978,98490,100854,100854,-54.198472,46.88,Fair
6.7378,98402,100737,100737,-28.968912,46.88,Fair
6.7779,98327,100657,100657,-2.885433,46.88,Fair
