time_seconds,red_raw,ir_raw,selected_raw,filtered_latest,bpm,bpm_fft,hrv_ms,signal_quality
17.0724,102840,120879,120879,-50.30,48.39,44.00,None,Fair
17.1198,102860,120935,120935,-36.22,59.94,76.00,118.08,Inconsistent (FFT mismatch)
17.1666,102872,120946,120946,-7.89,69.52,72.00,134.16,Good
17.2132,102889,121019,121019,7.71,70.11,76.00,116.73,Good
17.2614,102920,121021,121021,32.24,70.70,76.00,128.62,Good
17.3079,102959,121143,121143,24.57,71.49,76.00,132.29,Good
17.3544,102973,121158,121158,32.55,71.70,72.00,132.29,Good
17.4008,102997,121215,121215,29.46,72.04,72.00,132.29,Good
17.4471,102910,120970,120970,83.74,72.04,72.00,128.36,Good
17.4935,102795,120556,120556,156.81,72.04,72.00,124.82,Good
17.5403,102685,120354,120354,158.61,72.01,72.00,124.95,Good
17.5886,102692,120391,120391,87.35,71.85,72.00,132.14,Good
17.6350,102747,120616,120616,-23.99,71.68,72.00,116.62,Good
17.6815,102780,120610,120610,-66.22,71.49,72.00,116.62,Good
17.7282,102799,120576,120576,-72.89,70.78,72.00,116.62,Good
17.7746,102785,120535,120535,-57.45,70.78,72.00,116.62,Good
17.8210,102777,120561,120561,-49.10,70.78,72.00,116.62,Good
17.8690,102799,120607,120607,-48.03,70.78,72.00,116.62,Good
17.9153,102880,120776,120776,-75.49,70.78,72.00,116.62,Good
17.9617,102898,120822,120822,-75.49,70.78,72.00,116.62,Good
18.0080,102907,120881,120881,-70.51,70.78,72.00,43.00,Good
18.0547,102925,120854,120854,-40.34,70.78,72.00,43.00,Good
18.1012,102943,120908,120908,-22.32,73.98,72.00,43.00,Good
18.1493,102979,120930,120930,2.13,73.98,72.00,43.00,Good
18.1958,102967,121031,121031,7.47,73.98,72.00,43.00,Good
18.2424,102992,121082,121082,18.55,73.98,72.00,38.09,Good
18.2889,103045,121124,121124,26.74,73.98,72.00,38.09,Good
18.3353,103025,121114,121114,40.64,73.69,72.00,38.09,Good
18.3817,102919,120822,120822,103.08,73.69,72.00,37.08,Good
